"","Name","Rk","Age","ORG","Highest_LVL","POS","Future_Role","Report","obs","word_count","sd","ave_sentiment"
"290","Ezequiel Tovar","23","18.3","COL","A-","SS",4,"Tovar is a complete defensive player, both instinctive and fundamentally sound, as well as flashy and acrobatic. He’s already ditched switch-hitting and is severely lacking in strength at the plate, which needs to improve dramatically if he’s going to be a big leaguer at all, let alone some kind of regular. There’s risk that he only develops into a Dixon Machado type of player, but he has a real carrying tool in the defense.",290,78,0.199082356891965,0.096265677575494
"291","Will Ethridge","24","21.9","COL","A-","RHP",4,"A prep projection case who finally had the velo show up during his draft spring, Ethridge was working 92-95 with heavy sink last year, his first as a starter since high school. Like Castellani, Ethridge’s delivery is a little Scherzer-y, and his arm slot helps create impact, tailing movement on his changeup. He’s on the fifth starter/reliever line due to stuff quality, not control/command.",291,68,0.179456465545899,0.253568819198735
"292","Ryan Feltner","25","23.3","COL","A","RHP",4,"Feltner spent a chunk of his college career in the bullpen, and he projects there long term. His arm action is quite long, and while he can bully hitters with his fastball in the zone, he lacks precise command of his stuff. He lives in the mid-90s with tail as a starter and has a diving changeup that we think will miss big league bats. The slider has big sweeping action but is more easily identifiable out of his hand.",292,81,0.071868160648329,-0.0269558769565187
"293","Ben Bowden","26","25.1","COL","AAA","LHP",4,"Bowden has rare lefty velo and we’ve seen a plus changeup from him in the past, but reports on the cambio weren’t as strong this year. He still projects in middle relief.",293,34,0.139627502234544,0.302855698902118
"294","Christian Koss","27","21.8","COL","R","SS",3.5,"Toss out Koss’ Pioneer League stat line, as the league’s hitting environment makes that kind of analysis wholly unreliable. Visual evaluation of Koss’ skills as a hitter and serviceable infield defense still merit inclusion on the list. At this point, he projects as a hit-first infielder. We’d like Colorado to push him and stress test the bat, but that’s not their org’s style.",294,68,0.144214234549844,0.0251859048634529
"295","Breiling Eusebio","28","23.1","COL","A","LHP",3.5,"Eusebio was flashing three above-average pitches in 2017, then blew out his elbow early in 2018. Due to injury, he’s never thrown more than 72 innings in a single season, and that was back in 2015. Now 23, Eusebio is officially behind, but his stuff was only down a bit beneath it’s usual level when he pitched late last summer, so there’s still a shot this guy breaks out and gets pushed quickly, especially if he just gets ‘penned.",295,78,0.22387398493313,0.0788386241507998
"296","Ronaiker Palma","29","19.9","COL","R","C",3.5,"We like twitchy, athletic, catch-and-throw backstops with contact skills, and Palma has those qualities. He is not very physical and the quality of his contact, even though he makes a lot of it, is troubling; his ceiling might just be a backup because of it.",296,47,0.304893301191285,0.07190787918929
"297","Robert Tyler","30","24.5","COL","A+","RHP",3.5,"Tyler has had injury issues, both forearm and shoulder, dating back to college, and he’s now a 24-year-old who has only thrown 83 pro innings. At his best, Tyler will show you 96-98 with a plus changeup, but last year he was more 91-94. He needs to show some bounce back early in 2020.",297,52,0.334338032396972,0.0211199557652531
"298","Roberto Ramos","31","24.9","COL","AAA","1B",3.5,"Ramos has Quad-A hitter written all over him and his Fall League trial and winter ball performance haven’t helped. But he has gigantic raw power, enough that he’s a cut above our honorable mention tier.",298,38,0.150417405796686,0.242787456730263
"299","Matt Manning","1","22.2","DET","AA","RHP",6,"If you get déjà vu reading this report it’s because Manning has become the dream. All of the physical components that many front-end arms have while they’re in high school were there when he was an amateur — shooting guard frame, premium arm strength and athleticism, a breaking ball — the stuff that enables your imagination to run wild. And Manning succeeded while devoting time to two sports, which caused him to get a late start during his draft spring because the hoops team was in the middle of a deep playoff run (Manning threw late into the prior summer, so this may have actually been good for limiting innings). ",299,112,0.144219422645164,-0.0156698450143204
"300","Casey Mize","2","22.9","DET","AA","RHP",6,"We would not have guessed that, at this stage, the two-sport prep pitching prospect in this system would have lower perceived variance than the dominant SEC arm who went first in his draft class, but here we are. Mize has hellacious stuff. His four-pitch mix has actually gotten better since college because he and the Tigers successfully added greater demarcation between his cutter and slider, the latter of which now has more two-plane sweep. His entire repertoire is capable of missing bats, like Manning’s, but Mize’s split is superior to Manning’s change and he has an additional weapon, the cutter, that Manning does not. ",300,110,0.236853770946447,0.147482106959848
"301","Riley Greene","3","19.5","DET","A","RF",5,"Advanced high school hitters are common on Florida’s diamonds, and while Greene constantly squared up top high school pitching as well as any of his peers, he also underwent a bit of a physical transformation that made at least some scouts more optimistic that he’ll be able to play an instincts-driven center field long term. During his pre-draft summer, Greene was a little soft-bodied, his running gait was odd, and he seemed destined to play little more than an average outfield corner. The player scouts watched the following spring had a better physical composition, was more explosive and a better runner, and had as ripe a high school hit tool as was available in the draft. This was similar to how Jarred Kelenic’s skills were colored as he came out of high school. ",301,139,0.370599263131742,0.31671473785922
"302","Tarik Skubal","4","23.4","DET","AA","LHP",5,"Skubal was rehabbing from Tommy John during his junior year at Seattle University and only managed to throw a few bullpen sessions in front of scouts before the 2017 draft. Scouts liked what they saw, but not enough to meet a price tag that was up around $1 million according to sources. Skubal went back to school and was horrendous early in the year before he slowly began to throw more and more strikes. Now 29 teams and their evaluators are cursing themselves for either failing to notice that upward trend throughout the 2018 spring, or for noticing but lacking conviction in the draft room. ",302,101,0.43286646126978,-0.169679358367925
"303","Isaac Paredes","5","21.1","DET","AA","3B",5,"Paredes has a .291/.376/.425 line in 166 Double-A games. He’s quite comfortable in the box, and shows balance throughout his swing and incredible hand-eye coordination. A lack of in-game power and/or defensive excellence, combined with the abnormally high bar to clear at third base right now, may overshadow Paredes’ short-term impact in a league-wide context. Body-related concerns about his athletic longevity pinch what we think he’ll do in his late 20s. Paredes should hit enough to be an average everday player, like Luis Arraez except on a corner.",303,95,0.287733287739257,0.15051108045648
"304","Alex Faedo","6","24.4","DET","AA","RHP",4.5,"We were quick to move off of Faedo after he sat out the summer of 2017, then returned in 2018 with a fastball several ticks lower than where it was at peak, but we did so prematurely. Much of his velocity was back in 2019. He’s still searching for a consistent changeup, one with a little more velocity separation than it currently has, but Faedo’s slider and slider command give him an out-pitch. He’s thrown about 120 innings each of the last several years and should end up with a similar big league workload, a No. 4/5 starter.",304,97,0.0701148448285727,0.0894794932273095
"305","Joey Wentz","7","22.5","DET","AA","LHP",4.5,"Wentz has given scouts a number of different looks over the years: he hit the showcase circuit as a position player while resting his arm, showing 70-grade raw power, then showed 92-95 heat and a plus curveball at times in an uneven spring, followed by a full season debut where he mostly sat 88-91 with a great changeup. In 2018, Wentz had shoulder and oblique issues and his stuff played closer to average; in 2019 he was a bit healthier and better. He still has a near ideal frame and athleticism to go with a bag of 50- and 55-grade pitches and other qualities that give him a good shot to be a No. 4/5 starter.",305,110,0.184184323434879,0.0658626708195438
"306","Wenceel Perez","8","20.4","DET","A","SS",4.5,"The Tigers are in a bit of a pickle with Perez. He’s one of the few position players in the system who has a realistic chance of playing some sort of everyday role because of his speed, defensive profile, and feel for contact. He’s also still very young, physically immature, and a very raw swinger from the left side of the plate. He’ll be Rule 5 eligible next winter. Unless Perez grows into better quality contact, be it physically, mechanically, or both, he may become one of the several quality prospects who get exposed in the Rule 5 every year because the parent club thinks they’re too raw for other teams to bite. Red Sox 2019 Rule 5 pick, Jonathan Arauz, is a similar player. For now, Perez projects as a second-division regular at shortstop so long as the bat-to-ball feel turns into more than spray/grounder contact.",306,151,0.168273238839573,0.128849561519699
"307","Daz Cameron","9","23.2","DET","AAA","CF",4.5,"2019 was the worst statistical season of Cameron’s career by far. Strikeout frequency (which had been an underlying issue throughout much of his pro tenure) combined with a low BABIP (well below Cameron’s career norm) to generate a .214/.330/.377 line. He still had 40 extra-base hits, and Cameron’s all-fields power (he doesn’t have huge raw, but he does have wall-scraping pop to center and right center because the swing has some inside out elements) and selectivity give him the ability to do some slugging damage and reach base amid all the whiffing. Daz has been a known prospect for seven or eight years now. He’s got great body control but isn’t especially toolsy, and his instincts and baseball acumen play a large role in his defensive ability and baserunning. Overall, he’s a well-rounded player with fair tools, a 1.5 WAR type.",307,148,0.156453144622199,0.134264835866216
"308","Franklin Perez","10","22.3","DET","AA","RHP",4.5,"Perez’s first few pro seasons were notable because of how quickly Houston pushed him through the minors. A polished strike-thrower with four good pitches, he reached Double-A as a 19-year-old back in 2017 before he became the centerpiece of the Justin Verlander deal. Advanced though he was, various injuries have robbed Perez of innings. In 2016, he had knee trouble; in 2018, it was a lat strain, then shoulder inflammation. An ominous trap issue popped up during the early parts of 2019 spring training but Perez was back on the mound quickly and sitting his usual 93-96 into late-March, before he had three IL stints — in April, May, and June — and was shut down for the year. ",308,117,0.276470667939573,-0.0056621505185708
"309","Parker Meadows","11","20.4","DET","A","CF",4.5,"The younger brother of Rays outfielder Austin Meadows, Parker has some similarities to his big league sibling, but his tools are actually compared more often to those of Indians center fielder Bradley Zimmer. Zimmer and the younger Meadows both have deceptively easy plus speed due to their long frames, and each has a plus arm and plus raw power; Christian Yelich is the advanced hitter version of this profile. But as a high schooler, Meadows’ main concern was tied to contact issues caused by his long limbs and lack of rhythm at the plate. The Tigers took him in the second round out of high school in 2018 and he hasn’t quite dialed in the offensive approach yet, with a high strikeout rate in the summer after signing and marginal power in his full-season debut, but the upside remains the same.",309,142,0.34138371107666,0.0222741644983684
"310","Nick Quintana","12","22.5","DET","A","3B",4,"Quintana had a four-year track record of statistical performance dating back to his senior year of high school, but after the draft he suddenly stopped hitting against Low-A and Short Season pitching. His swing is somewhat grooved, but he has an athletic move forward and should hit a ton of doubles. A well-rounded offensive skillset and above-average defense at third is an everyday profile, but there’s some hit-tool risk here.",310,76,0.367759855549068,0.0240358495769578
"311","Alex Lange","13","24.5","DET","AA","RHP",4,"Lange’s velocity last year was back to what it was during his best days at LSU, and his strikeout rate spiked after the Cubs traded him to Detroit in the Nick Castellanos deal and he was moved to the bullpen. Our high speed footage shows Lange throwing two different breaking balls, though their movement is hard to distinguish in real time. The slider is effective despite lacking spin, and has late, downward movement. Lange might fit in a multi-inning relief role.",311,83,0.211263206903802,0.0434775219492246
"312","Willi Castro","14","22.9","DET","MLB","SS",4,"Castro shares many offensive similarities with a young Freddy Galvis. He’s a switch-hitter with some pop who hasn’t totally figured out how to get to that power in games yet. Galvis, who is a superior defender, figured it out and became a low-OBP, 45 FV type of player, so Castro fits in a tier below that. He may be a placeholder at shortstop.",312,66,0.137281294596729,0.0900752432644336
"313","Zack Hess","15","23.1","DET","A","RHP",4,"Hess was a well-known power arm on the high school summer showcase circuit and into the spring, showing mid-90s heat, a plus power curveball, and a reliever’s command and approach in his best stints. Due to the prep righty reliever profile, his price wasn’t met and he went to LSU, where they tried to make him a starter after a solid freshman year in relief. The starter role never quite took, as he mostly sat in the low-90s with lesser stuff. His stuff got back to his showcase circuit best in pro ball in short stints, which seems like the best role for him going forward.",313,111,0.296774917976399,0.283616318330268
"314","Jose De La Cruz","16","18.2","DET","R","RF",4,"De la Cruz has a right field prospect toolkit straight out of central casting — plus raw power, plus arm, average underway speed, contact issues at present — and a year of DSL statistical performance arguably derived from his physical maturity. His Trackman data is very strong, especially for his age. He could be a middle of the order power bat, but he’s years away.",314,64,0.216252116012287,0.250284529098234
"315","Beau Burrows","17","23.5","DET","AAA","RHP",4,"Injuries — shoulder inflammation, biceps tendinitis, oblique strain — ruined Burrows’ 2019. When healthy (well, when he was pitching), Burrows’ fastball was fine, but his secondaries were not. He could bounce back into the 45 FV tier if they’re back in 2020.",315,38,0.606217782649107,-0.105911461977916
"316","Bryant Packard","18","22.5","DET","A+","LF",4,"Packard’s junior year power output dipped because of injuries (back and wrist), but he had a stock-up summer after the draft. He’s patient, has above-average raw power, and looks like a potential Lucas Duda type of lefty stick.",316,42,0.324442842261525,0.250378059648253
"317","Jake Rogers","19","24.9","DET","MLB","C",4,"Contact-related warts and all, we still like Rogers as a low-end regular who played elite defense while hitting for some pull power, much like what Austin Hedges has been. We’re not sure how valuable the foundation of Rogers’ skillset will be in a few years if automated strike zones are instituted, and fear interesting players like this will disappear if they are.",317,65,0.278076341811179,0.153600671969978
"318","Wilkel Hernandez","20","21.0","DET","A","RHP",4,"Hernandez is one of two Angels rookie-level pitchers Detroit received in the Ian Kinsler (Hernandez) and Justin Upton (Elvin Rodriguez) trades. Of the two, Hernandez is the one who experienced an uptick in velocity. Both had been in the 88-92 range with frames that portended more. Then last year, Hernandez was suddenly up to 96. And there might be another jump if Hernandez ends up in the bullpen, where he’d be a power fastball/breaking ball reliever. His changeup quality and year-over-year strike-throwing improvements merit continued development in the rotation, and give Hernandez a shot to be a No. 4/5 starter.",318,103,0.153318011658724,0.104803744469059
"319","Adinso Reyes","21","18.4","DET","R","3B",4,"Reyes is one of several examples of Detroit targeting physically mature corner bats with present raw power on the amateur market. He worked out as a shortstop as an amateur but projected to third base at best. He has an athletic, rotational swing and plus bat speed, and his bat path has some natural lift, while his frame appears destined to add considerable mass and strength. Arm accuracy and mobility issues, especially as he gets bigger, could move Reyes way, way down the defensive spectrum, but he could end up with above or plus hit and power tools.",319,98,0.307429575457715,0.0891995077719167
"320","Kody Clemens","22","23.9","DET","AA","2B",4,"Clemens had a pretty strong Florida State League line (.238/.314/.411 is above average in the FSL), albeit as an old-for-the-level hitter. He generates consistent hard contact because of the strength in his wrists and hands. His lower half and hands often appear disconnected, which can result in ugly contact that’s still hit hard because of Clemens’ strength. He projects as a one-ish win, shift-aided second baseman.",320,71,0.335066210846078,0.241434755469725
"321","Jack Kenley","23","22.5","DET","A","2B",4,"Even on a loaded Arkansas team, Kenley stayed under the national scouting radar since he didn’t play much until his junior year, and was an infielder without much power who didn’t play shortstop. He shows 45 raw power in BP, but has a flat swing plane that’s geared for line drives and contact. He seems like candidate for a swing change, but could also carve out a bench role as a lefty-hitting, contact oriented bench bat infielder along the lines of Tommy LaStella.",321,86,0.16493216835347,0.026662294968206
"322","Ryan Kreidler","24","22.4","DET","A-","3B",4,"A vanilla but well-rounded college infielder, Kreidler’s best defensive fit is at third base, but he’s fundamentally sound enough to stand at a middle infield spot if needed. A conservative, contact-oriented approach coupled with limited raw power shade the projection toward a bench infield/utility type.",322,50,0.419223115187122,0.0784905604019295
"323","Roberto Campos","25","16.8","DET","R","RF",4,"Campos defected from Cuba with his brother in 2016 at a Little League tournament in the Dominican Republic. The Tigers locked him up pretty quickly after their first couple looks, with some clubs barely seeing him at all. He’s a corner outfield prospect with present power who needs to hit to profile. We know next to nothing about the hit tool at this point.",323,64,0.190799654078049,0.145800869382102
"324","Bryan Garcia","26","24.9","DET","MLB","RHP",4,"The career saves leader at Miami, Garcia tore through the minors and pitched across four levels, all the way to Triple-A, in his first full pro season. Then he blew out during the spring of 2018. He works fastball/slider to righties, fastball/changeup to lefties, and both secondaries are very firm, upper-80s pitches. Neither is a dominant offering, but the pitch mix lifts Garcia above an up/down role.",324,71,0.176025495897047,0.132357544710594
"325","Shao-Ching Chiang","27","26.4","DET","AAA","RHP",4,"Chiang is going to pitch in the big leagues next year. He throws hard (up to 96 during a pre-tournament exhibition, up to 98 during the 2019 minor league season) and has a backspinning fastball due to his vertical arm slot. He’ll also flash a plus changeup, which he uses against right-handed hitters sometimes, and his two-plane slider is fringy. It’s an arm strength relief profile.",325,68,0.20052105427031,0.218419222561555
"326","Keider Montero","28","19.7","DET","A-","RHP",3.5,"He’s not as physically projectable as most pitchers his age, but Montero’s fastball will crest around 95 and he has a potential out-pitch in his curveball.",326,28,NA,0
"327","Kyle Funkhouser","29","26.0","DET","AAA","RHP",3.5,"Funkhouser was added to Detroit’s 40-man despite more injury and erratic performance in 2019. At times he’ll show three above-average pitches; at others he can’t get anyone out. He hasn’t thrown more than 100 innings in any pro season, and at this point he’s considered a relief prospect with a long track record of injury.",327,59,0.499583694855145,0.0398900581782173
"328","Elvin Rodriguez","30","22.0","DET","A+","RHP",3.5,"Rodriguez was an advanced pitchability righty with physical projection when Detroit acquired him from the Angels for Justin Upton. He’s now 22, and the velo hasn’t arrived. He still has a great build and arm action, but he’s looking like a sixth or seventh starter now because the heat just hasn’t come.",328,55,0.212726327899487,0.259724318047726
"329","Andre Lipcius","31","21.9","DET","A","3B",3.5,"Lipcius moved from first base as a freshman, to shortstop as a sophomore, to his natural home of third base as a junior at Tennessee, and then all over the infield during his first taste of pro ball. He hit for more power in his draft year than was expected given a contact-oriented approach (Lipcius ditches his leg kick with two strikes, and he’s willing to poke balls, softly, the other way). He projects as a multi-positional bench infielder.",329,82,0.132518354300629,0.121052425888591
"330","Rony Garcia","32","22.3","DET","AA","RHP",3.5,"Garcia spent most of 2019 at Double-A Trenton, where he posted a FIP of 4.21, then he went first overall in the 2019 Rule 5 Draft. He sits 91-94 and touches 95 with pretty significant fastball spin for that velo range — about 2400 rpm on average — but because Garcia has a lower arm slot, the pitch doesn’t have the kind of lift that would miss bats. The arm slot and Garcia’s above-average, two-plane breaking ball make him especially tough on righties, who he held to a .197/.273/.356 line in 2019. The changeup needs to get better if Garcia is going to continue to start, but Detroit is becoming quite good at implementing coherent pitch design, so maybe it will, or perhaps the Tigers will find a way to give him a relevant second breaking ball.",330,131,0.444554627490707,0.233969789807471
"331","Jason Foley","33","24.4","DET","A+","RHP",3.5,"Foley’s arm strength was back after his Tommy John, but his out-pitch changeup was not. His secondary pitch of choice last year was a slider. He’d be a 40 FV with that split/change back in the fold, but as an arm strength-only sort, he’s more of an up/down reliever.",331,55,0.0470448739768427,0.0967599740461466
"332","Sergio Alcantara","34","23.7","DET","AA","SS",3.5,"“This guy isn’t pitching yet?” one of us was asked by a source as we talked about this system. Alcantara has a laser arm, he can run, he’s a good defensive shortstop, and he even has above-average ball/strike recognition. But the quality of contact is arguably insufficient for even a utility role. He’s nearly out of option years. We wonder if reps in center might enable a 26th man sort of role, but also think it’s possible the Tigers give a conversion to the mound a shot since Detroit is getting better at developing pitchers, including a few interesting conversion arms.",332,107,0.286738752163193,0.252989275844448
"333","Wladimir Pinto","35","22.1","DET","AA","RHP",3.5,"Pinto has a huge fastball and both of his secondaries dovetail in opposite directions, but neither has consistent, bat-missing movement. Fold in a career walk rate in the teens, and even though he’s doing damage with his fastball at Double-A, Pinto was passed over in the Rule 5. He’s only 21 and is a realistic up/down relief prospect with some ceiling above that due to the arm strength.",333,71,0.44080659664765,-0.0886126266565548
"334","Will Vest","36","24.8","DET","AAA","RHP",3.5,"He doesn’t have sleeves (which is the nature of the garment) but Vest still does a good job hiding the ball from hitters. His deceptive, overhand delivery looks like a trebuchet and creates late carry on his fastball, which sat 94 and touched 97 during the season, but was 91-93 in Eric’s Fall league looks. His secondary stuff is more average, so it’s important the velo returns.",334,67,0.140296713479106,0.205457677901872
"335","Carlos Guzman","37","21.9","DET","A+","RHP",3.5,"Two seasons ago, Guzman was an exciting, new conversion arm who was sitting in the mid-90s and rapidly gaining feel for a good changeup. But in 2019, his stuff was down, his command backed up, and he was eventually shut down with injury. Rather than a 2019 leap placing Guzman in late-inning air, he’s now a bounce-back candidate who won’t be on the list if his velo isn’t back in the spring.",335,76,0.482363111330044,0.114495145794858
"336","Paul Richan","38","23.0","DET","A+","RHP",3.5,"An extreme strike-thrower, Richan is severly lacking in stuff. He relies on freezing people and inducing weak contact with his changeup and fastball location. He’s likely a sixth starter type.",336,32,0.33834007890044,-0.311925977151533
"337","Sam McMillan","39","21.3","DET","A","C",3.5,"McMillan is an athletic, well-built catcher with ball/strike recognition, and a slow bat. He projects as a third catcher on the 40-man, and his build suggests he’ll probably hang around for a while.",337,36,0.0779177582448304,0.0223634916943747
"338","Angel De Jesus","40","23.1","DET","A+","RHP",3.5,"De Jesus signed at 19 and had been slow to develop (he spent parts of three seasons in the DSL) until 2019, when he skipped a level, then earned a mid-year promotion to Hi-A. He throws hard — 91-96 with huge extension — and his fastball has relevant movement up and away from lefty batters. He’s well-built but not very athletic, and he throws a lot of non-competitive pitches because he struggles to repeat. He’s a lower probability reliever but there’s some ceiling because of how the fastball plays.",338,91,0.112631714036935,0.00352349937544759
"339","Forrest Whitley","1","22.5","HOU","AAA","RHP",6,"Two consecutive tumultuous seasons — a 2018 stimulant suspension, lat and oblique issues, then 2019 shoulder fatigue, control problems, and what looked like a conditioning regression — have us a little down on Whitley, but not too much, because his stuff is still quite good. He wields one of the deepest repertoires in all of the minors and, though the elite-looking changeup he showed during the 2018 Fall League was not present in 2019, all of his stuff is still above-average or better, both visually and on paper. ",339,84,0.10211706398234,0.232331167266008
"340","Jose Urquidy","2","24.9","HOU","MLB","RHP",5,"Urquidy made last year’s Astros list as an Other of Note, projecting as a spot starter because of his plus changeup and command. He sat 89-93 in 2018, then found a few more ticks of velo and a second breaking ball in 2019, all while retaining the command and change. Both breaking balls will play because of where Urquidy locates them (the slider, especially, needs to miss away from hitters), and his changeup action works against both handed hitters, so he’s a promising rotation piece who we project as a 2.5 WAR-ish starter.",340,92,0.0739830037811716,-0.0625649998841532
"341","Abraham Toro","3","23.2","HOU","MLB","3B",4.5,"It’s rare for evaluations of a player as seasoned as Toro to be as divisive as his are, all the way down to the bones of his tool grades. Running is simple to evaluate using home to first times, but there’s even disagreement over Toro in this area. But let’s start with the most important stuff: the offense. Toro is short-levered and tightly-wound, not the loose, rotational athlete most scouts like. But he muscles balls into both gaps and has solid barrel control, enough to spoil tough pitches and grind out tough at-bats. It’s a pretty well-rounded contact/doubles power/OBP profile even though Toro presents an atypical look. ",341,117,0.310364910574349,0.137313991232546
"342","Freudis Nova","4","20.2","HOU","A","3B",4.5,"There are several higher-probability prospects in this system (most of them pitchers) but Nova remains one of the few with everyday upside (or better) because of his bat speed. He takes questionable at-bats, but the frame/power projection and likelihood that Nova stay on the dirt, probably on the left side of the infield, give him a shot to be an impact regular. Despite an Epicurean approach, Nova has a three-year track record of statistical success, including a nearly average line as a 19-year-old in the Midwest League last year, which featured 25 extra-base hits in just 75 games.",342,102,0.449448748200596,0.0178963037363555
"343","Bryan Abreu","5","22.9","HOU","MLB","RHP",4.5,"Because he has premium arm strength and both of his breaking balls are nasty benders from hell — they’re roughly the same velocity but have clearly different shapes — Abreu has elite reliever ceiling. His complete lack of fastball control forces him to work with those breaking balls early in counts, which impacts hitters’ willingness to offer at them later in at-bats as they’ve already seen a couple. Because he has options left, a wild spring from Abreu might mean he spends 2020 up and down from Round Rock, but he might also be Houston’s closer by the end of the summer.",343,103,0.00328949030342844,-0.0441375561133703
"344","Cristian Javier","6","23.0","HOU","AAA","RHP",4.5,"It’s odd to consider someone with such lowly control a “pitchability” arm, but Javier is exactly that. He manipulates the shape of his breaking balls, pitches backward, and will double and triple up on his changeup when he’s behind in the count, all in an attempt to get to two strikes so he can try to sneak his fastball past hitters. And he does. Javier has fringe velocity but his fastball garners swings and misses more than 17% of the time. Even though he struggles with walks, his career WHIP is just a shade over 1.00 because hitters can’t touch his stuff. It may be in a 90 or 100 inning bullpen role, but Javier projects to be a core piece of Houston’s staff.",344,124,0.167908826650452,-0.20382806116716
"345","Brandon Bielak","7","23.9","HOU","AAA","RHP",4.5,"Bielak’s 2019 ERA was inflated by a bad three-start stretch in June, including a nine-run spanking in Vegas, where that kind of thing is fairly common. He had some rashes of wildness early in the year, but over the final two months of the summer, Bielak was his characteristic, strike-throwing self. He can pitch backwards and consistently locates both of his breaking balls to his glove side; Bielak often sets up one with the other. There’s a starter’s repertoire depth and pitch quality here, along with a starter’s command and good raw spin, and he performed against Triple-A hitters late in the season. He’s a high-probability No. 4/5 starter.",345,117,0.151818773005368,-0.0244439763205532
"346","Korey Lee","8","21.6","HOU","A-","C",4,"A stocky, athletic catcher with a good arm and surprising bat speed and power, Lee hit .320/.420/.626 as a junior at Cal and emerged as a Day 1 talent. Teams with draft models that more evenly weight multiple seasons weren’t on Lee as much before the draft because he didn’t perform like that as an underclassman. Lee didn’t catch much pro-quality stuff at Cal, so that part of his skillset remains somewhat unclear, but we think he’s athletic enough to improve if it’s an issue initially. He looked ground down last summer after he signed, and was less balanced at the plate. He has everyday tools, but catchers are high risk and this one has a relatively short track record of performance.",346,126,0.302839264565091,0.200353647714299
"347","Hunter Brown","9","21.5","HOU","A-","RHP",4,"Brown was a late-rising arm for Division-II Wayne State in Michigan, with high level scouts running in for looks after a breakout outing at a Florida tournament in early March. He had buzz as high as the second round, but ended up slipping to the fifth on draft day, with some buzz that a rookie agent (since fired) vetoed what would’ve been a higher bonus in the third. Early returns are very positive on Brown in pro ball: up to 97, mixing in an above average slider and a usable changeup, with a workhorse frame with starter traits.",347,100,0.45314348010561,0.359075870264659
"348","Jairo Solis","10","20.2","HOU","A","RHP",4,"Solis had Tommy John late in the summer of 2018, meaning he didn’t pitch at all last year, so his FV and scouting report are the same as they were in 2019. Among the non-Top 100 types of arms in this system, he not only has one of the better chances of remaining a starter but also has the best stuff among those who do, led by a plus-flashing curveball that he has great feel for locating. Solis also has a great arm for a 19-year-old, and may still throw harder as he matures, with his fastball already sitting in the viable low-to-mid 90s. There’s some changeup feel here, too, and teams think Solis has mid-rotation ceiling so long as his command continues to progress. ",348,130,0.149485792768145,0.142236641248836
"349","Jeremy Pena","11","22.5","HOU","A+","SS",4,"We tabbed Pena as a potential breakout candidate last season (he had added about 20 pounds of muscle during the winter) and he did have a pretty good 2019 split between Low- and Hi-A, levels too low for us to really buy in based on stats alone. We think he’ll continue to hit for doubles power while playing a terrific shortstop. Some clubs have him evaluated as a low-end regular, others as a utility player (he’s played some second and third), which we think is more likely.",349,89,0.0749810309135222,0.0831963606111238
"350","Jose Alberto Rivera","12","23.1","HOU","A","RHP",4,"Perhaps the loosest, most fluid on-mound athlete in the system, Rivera struck out just shy of 30% of opposing hitters for the second straight year in 2019. He began the season in Extended before joining Low-A Quad Cities in a piggyback role, usually working three or four innings per outing, mostly with his monster fastball and power breaking ball, from which he adds and subtracts when he’s trying to get back into counts. The longer arm action, mostly two-pitch mix, fringe control and age/level/40-man timeline funnel Rivera toward the bullpen, and he might be very scary if his heater has another gear in single innings.",350,109,0.141756842724599,-0.00399135317714592
"351","Enoli Paredes","13","24.5","HOU","AA","RHP",4,"Any of the several, hard-throwing relievers you’re about to read about could end up pitching at the back of a bullpen one day, and Paredes might have the best shot. He is arguably the best athlete in this system, and it’s incredible that he’s able to stay balanced over his landing leg despite taking a gargantuan, max-effort stride toward home. So deep is the bend in Paredes’ landing leg, so low to the ground is he at release, that his fastballs approach hitters at a very flat angle that they seem to struggle with. He throws really hard, up to 99 with explosive life, and mixes in several semi-consistent secondary offerings of varying shape and quality. He’s worked as a starter or in three-inning jaunts out of the bullpen, and the pitch mix supports continued usage of this sort.",351,146,0.206139423140611,0.0738226059580145
"352","Tyler Ivey","14","23.8","HOU","AA","RHP",4,"Ivey’s violent head whack, some minor injury stuff, and the lack of innings foundation — caused partially by a 2019 suspension, the official reason for which was undisclosed, though it came out after he was caught using a foreign substance — push him toward the bullpen, but he has starter’s stuff. His fastball plays well at the top of the zone. Even last year, when he wasn’t throwing quite as hard as the year before, Ivey’s fastball hummed past upper-level hitters. His curveball is the headliner, though. It’s a gorgeous, old-school, 12-to-6 yakker that freezes hitters. He also has a cutter/slider and a changeup, the latter of which shows flashes of bat-missing movement. Unless the mid-90s heat comes back, we prefer Ivey in a multi-inning relief role, but he’ll probably be given at least one more year of starts just to see what happens since he doesn’t have to be on the 40 until next winter.",352,165,0.262936546873423,0.0409583241985755
"353","Angel Macuare","15","20.0","HOU","A-","RHP",4,"He’s not as lanky and projectable as most teenage arms, but Macuare has very advanced feel for pitching (toss out his two, walk-happy starts before Houston shut him down for a few weeks) and his fastball has monster vertical movement. He’ll flash a plus curveball, which he can dot on the corners, but the changeup feel is a little behind. It looks like a potential backend starter on the surface but the fastball might play way better than that, enabling Macuare to be closer to a true No. 4.",353,91,0.1673186328934,0.279398198689263
